,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Temp,Wind Speed,Max Temp
210,800,victoria,0,HK,1612051194,64,22.2855,114.1577,15.74,6.87,17.22
211,801,beba,20,CU,1612051510,73,22.4437,-79.7253,21.0,6.17,21.0
212,803,klobuck,61,PL,1612051510,87,50.9008,18.9367,-3.89,2.16,-3.89
213,701,moorhead,90,US,1612051462,93,46.8739,-96.7676,-3.51,2.06,-3.0
214,803,vila franca do campo,75,PT,1612051463,94,37.7167,-25.4333,16.83,6.69,17.0
215,801,katsuura,20,JP,1612051318,48,35.1333,140.3,6.25,2.57,7.78
216,800,luderitz,0,NA,1612051308,65,-26.6481,15.1594,18.71,8.76,18.71
217,801,bilma,14,NE,1612051337,31,18.6853,12.9164,14.61,1.74,14.61
218,802,upata,45,VE,1612051511,96,8.0086,-62.3989,23.89,0.45,23.89
219,803,xinye,63,CN,1612051242,61,32.5186,112.3522,6.77,1.46,6.77
220,804,aloleng,100,PH,1612051511,63,16.1307,119.7824,22.98,6.98,22.98
221,804,noyabrsk,100,RU,1612051512,85,63.1994,75.4507,-28.9,9.17,-28.9
222,802,resplendor,36,BR,1612051512,74,-19.3256,-41.2553,22.79,1.5,22.79
223,800,tenenkou,0,ML,1612051512,21,14.4572,-4.9169,20.59,4.25,20.59
224,803,kununurra,75,AU,1612051366,94,-15.7667,128.7333,28.0,3.09,28.0
225,800,mangan,0,IN,1612051512,39,27.5167,88.5333,8.81,2.71,8.81
226,800,moose factory,1,CA,1612051421,84,51.2585,-80.6094,-21.51,1.54,-21.0
227,800,bethel,1,US,1612051306,45,41.3712,-73.414,-6.61,2.33,-6.0
228,801,minas novas,20,BR,1612051512,66,-17.2186,-42.5903,21.76,2.36,21.76
229,500,johannesburg,65,ZA,1612051387,93,-26.2023,28.0436,17.66,0.89,18.33
230,803,havre-saint-pierre,75,CA,1612051334,73,50.2334,-63.5986,-7.0,4.63,-7.0
231,803,hithadhoo,65,MV,1612051290,79,-0.6,73.0833,27.56,6.73,27.56
232,800,joshimath,0,IN,1612051513,34,30.5667,79.5667,3.64,2.76,3.64
233,803,tarpon springs,72,US,1612051513,67,28.1461,-82.7568,17.93,1.87,18.89
234,600,hamilton,90,US,1612051290,75,39.1834,-84.5333,0.05,3.6,1.11
